tipo;precio;localidad;latitud;longitud;superficie_construida;habitaciones;banyos;antiguedad;conservacion;terraza;jardin;orientacion;garaje;piscina;aire_acondicionado;trastero;ascensor;planta;fecha;detalle_url
Apartamento;505000;La Vila Joiosa Villajoyosa;38.525458458;-0.17007815;120.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;True;5ª;;https://www.pisos.com/comprar/apartamento-cala_de_villajoyosa-3470926433_109700/
Ático;920000;La Vila Joiosa Villajoyosa;38.5270572;-0.1949079;221.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;True;6ª;;https://www.pisos.com/comprar/atico-cala_de_villajoyosa-3487862956_109700/
Apartamento;254000;Dénia;38.8425894;-0.0368749;100.0;2.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;False;False;False;1ª;2025-11-17;https://www.pisos.com/comprar/apartamento-les_deveses_monte_pego-4002014053_109700/
Apartamento;268000;Torrevieja;38.0018178;-0.6770599;126.0;1.0;1.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;False;True;True;3ª;2025-12-17;https://www.pisos.com/comprar/apartamento-la_siesta_el_salado_torreta_el_chaparral03184-4008435571_109700/
Ático;475000;Dénia;38.869833;-0.0108604;153.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;False;False;False;4ª;2025-11-17;https://www.pisos.com/comprar/atico-les_deveses_monte_pego-4034363051_109700/
Casa;397000;Dénia;38.8820001;-0.0329213;160.0;3.0;3.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;False;False;False;0ª;2025-11-17;https://www.pisos.com/comprar/casa_adosada-les_deveses_monte_pego-4053124003_109700/
Ático;391000;Alicante Alacant;38.3561;-0.503727;105.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;False;True;True;4ª;2025-11-17;https://www.pisos.com/comprar/atico-san_blas_castillo_de_san_fernando_pau03005-4054917639_109700/
Chalet;625000;Polop;38.6187677;-0.1467371;128.0;3.0;2.0;Desconocida;Desconocida;True;Desconocido;Norte;Desconocido;Sin piscina;True;False;False;0ª;2026-02-24;https://www.pisos.com/comprar/chalet-cotelles-4220047935_108500/
Apartamento;120000;Guardamar del Segura;38.088331204;-0.646939017;60.0;1.0;1.0;Desconocida;Desconocida;False;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;False;Desconocida;;https://www.pisos.com/comprar/apartamento-guardamar_playa03140-4225500557_105600/
Ático;405000;Santa Pola;38.232814575;-0.523444651;85.0;2.0;2.0;Desconocida;A estrenar;False;Privado;Este;Privado;Exterior;False;False;False;1ª;2026-02-23;https://www.pisos.com/comprar/atico-gran_alacant-4244979234_100500/
Casa;410000;Dénia;38.869833;-0.0108604;148.0;3.0;3.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;False;False;False;0ª;2025-11-17;https://www.pisos.com/comprar/casa_adosada-les_deveses_monte_pego-4251593898_109700/
Apartamento;192000;Dénia;38.8820001;-0.0329213;65.0;1.0;1.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;False;False;False;2ª;2025-11-17;https://www.pisos.com/comprar/apartamento-les_deveses_monte_pego-4258364190_109700/
Apartamento;306000;Dénia;38.8820001;-0.0329213;119.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;False;False;False;1ª;2025-11-17;https://www.pisos.com/comprar/apartamento-les_deveses_monte_pego-4264731230_109700/
Ático;800000;Benidorm;38.5460855;-0.1515031;325.0;3.0;3.0;Desconocida;A estrenar;True;Desconocido;Sur;Privado;Sin piscina;False;True;False;Más de 20;2025-12-16;https://www.pisos.com/comprar/atico-poble_de_ponent03502-4270129726_109700/
Casa;345000;Dénia;38.8637712;0.0037614;124.0;2.0;3.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;False;False;False;0ª;2025-11-17;https://www.pisos.com/comprar/casa_adosada-les_deveses_monte_pego-4272877405_109700/
Chalet;555000;Finestrat;38.549042064;-0.19648622;158.0;4.0;3.0;Desconocida;A estrenar;True;Privado;Desconocido;Privado;Sin piscina;False;False;False;0ª;2026-02-16;https://www.pisos.com/comprar/chalet-urbanizaciones_balco_de_finestrat_terra_marina-4306537112_109700/
Piso;534000;Benidorm;38.5460855;-0.1515031;117.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Sur;Privado;Sin piscina;False;False;False;Más de 20;2025-12-16;https://www.pisos.com/comprar/piso-poble_de_ponent03502-4316572587_109700/
Chalet;560000;Finestrat;38.549042064;-0.19648622;158.0;4.0;3.0;Desconocida;A estrenar;True;Privado;Desconocido;Privado;Sin piscina;False;False;False;0ª;2026-02-16;https://www.pisos.com/comprar/chalet-urbanizaciones_balco_de_finestrat_terra_marina-4316888451_109700/
Chalet;570000;Finestrat;38.549042064;-0.19648622;158.0;4.0;3.0;Desconocida;A estrenar;True;Privado;Desconocido;Privado;Sin piscina;False;False;False;0ª;;https://www.pisos.com/comprar/chalet-urbanizaciones_balco_de_finestrat_terra_marina-4323650197_109700/
Casa;317000;Dénia;38.8820001;-0.0329213;113.0;2.0;3.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;False;False;False;0ª;2025-11-17;https://www.pisos.com/comprar/casa_adosada-les_deveses_monte_pego-4328536682_109700/
Piso;418500;La Vila Joiosa Villajoyosa;38.506471096;-0.230555088;82.0;2.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;True;2ª;;https://www.pisos.com/comprar/piso-la_vila_joiosa_villajoyosa_centro-4426098256_109700/
Piso;420000;La Vila Joiosa Villajoyosa;38.506471096;-0.230555088;122.0;2.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;True;1ª;2025-12-30;https://www.pisos.com/comprar/piso-la_vila_joiosa_villajoyosa_centro-4473916825_109700/
Piso;587000;Benidorm;38.5460855;-0.1515031;131.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Sur;Privado;Sin piscina;False;False;False;Más de 20;2025-12-16;https://www.pisos.com/comprar/piso-poble_de_ponent03502-4505638340_109700/
Piso;570000;La Vila Joiosa Villajoyosa;38.506471096;-0.230555088;107.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;True;4ª;2025-12-30;https://www.pisos.com/comprar/piso-la_vila_joiosa_villajoyosa_centro-4516219818_109700/
Chalet;409000;Busot;38.4781087;-0.4261699;159.0;3.0;3.0;Desconocida;A estrenar;True;Privado;Sur;Privado;Sin piscina;False;False;False;0ª;2025-11-17;https://www.pisos.com/comprar/chalet-busot_centro_urbano-4574191252_109700/
Piso;468600;Sant Joan D'alacant;38.4016;-0.432808;125.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;False;True;True;6ª;;https://www.pisos.com/comprar/piso-sant_joan_alacant_centro_urbano-4787596920_109700/
Ático;454000;Alicante Alacant;38.3575;-0.500848;101.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;True;True;True;4ª;2026-02-13;https://www.pisos.com/comprar/atico-san_blas_castillo_de_san_fernando_pau03005-4835471907_109700/
Ático;399000;Alicante Alacant;38.3593;-0.501274;106.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;False;True;True;4ª;2025-11-17;https://www.pisos.com/comprar/atico-san_blas_castillo_de_san_fernando_pau03005-4884919824_109700/
Ático;430000;Alicante Alacant;38.34878872;-0.507555816;106.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;True;True;True;4ª;2026-02-13;https://www.pisos.com/comprar/atico-san_blas_castillo_de_san_fernando_pau03005-4885095046_109700/
Ático;423000;Alicante Alacant;38.361348573;-0.502453727;107.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;True;True;True;4ª;2026-02-13;https://www.pisos.com/comprar/atico-san_blas_castillo_de_san_fernando_pau03005-4928816145_109700/
Piso;254000;La Vila Joiosa Villajoyosa;38.506471096;-0.230555088;63.0;1.0;1.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;True;3ª;2025-12-30;https://www.pisos.com/comprar/piso-la_vila_joiosa_villajoyosa_centro-4994317342_109700/
Piso;469500;Xàbia Jávea;38.7910094;0.1659088;80.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;False;True;True;0ª;;https://www.pisos.com/comprar/piso-xabia_javea_centro03730-5001045861_109700/
Piso;312000;Benidorm;38.5424112;-0.1312856;105.0;3.0;2.0;Desconocida;Reformado;False;Desconocido;Sur-Este;Privado;Sin piscina;True;True;True;2ª;;https://www.pisos.com/comprar/piso-poble_de_ponent-5023194530_516543/
Casa;214900;Petrer;38.47281622;-0.767712144;140.0;3.0;3.0;Desconocida;Desconocida;False;Desconocido;Desconocido;Privado;Sin piscina;False;True;False;0ª;2025-02-25;https://www.pisos.com/comprar/casa_adosada-petrer_centro_urbano-5053815920_101800/
Chalet;1250000;Benissa;38.712193383;0.046645282;450.0;8.0;8.0;Desconocida;En buen estado;True;Privado;Sur;Privado;Exterior;True;False;False;0ª;2026-02-06;https://www.pisos.com/comprar/chalet_rustico-benissa_pueblo-5073855122_511171/
Casa;698000;Calpe Calp;38.633710443;0.019707816;250.0;3.0;3.0;Desconocida;En buen estado;True;Privado;Desconocido;Privado;Exterior;True;False;False;0ª;2026-02-24;https://www.pisos.com/comprar/casa-calp_maryvilla-5074232404_520988/
Piso;274900;Alicante Alacant;38.3552783;-0.4827313;94.0;2.0;2.0;Desconocida;A estrenar;False;Desconocido;Desconocido;Desconocido;Sin piscina;True;True;False;4ª;2025-11-14;https://www.pisos.com/comprar/piso-pla_carolinas_carolinas03012-5083983284_109700/
Ático;304900;Alicante Alacant;38.3552783;-0.4827313;140.0;1.0;1.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Desconocido;Sin piscina;True;True;False;Desconocida;2025-11-01;https://www.pisos.com/comprar/atico-pla_carolinas_carolinas03012-5090736381_109700/
Piso;239900;Alicante Alacant;38.3552783;-0.4827313;94.0;2.0;2.0;Desconocida;A estrenar;False;Desconocido;Desconocido;Desconocido;Sin piscina;True;True;False;1ª;2025-11-17;https://www.pisos.com/comprar/piso-pla_carolinas_carolinas03012-5093120303_109700/
Piso;254900;Alicante Alacant;38.3552783;-0.4827313;82.0;2.0;1.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Desconocido;Sin piscina;True;True;False;3ª;2025-11-11;https://www.pisos.com/comprar/piso-pla_carolinas_carolinas03012-5105333395_109700/
Piso;259900;Alicante Alacant;38.3552783;-0.4827313;94.0;2.0;2.0;Desconocida;A estrenar;False;Desconocido;Desconocido;Desconocido;Sin piscina;True;True;False;3ª;2025-11-16;https://www.pisos.com/comprar/piso-pla_carolinas_carolinas03012-5106663318_109700/
Piso;204900;Alicante Alacant;38.3552783;-0.4827313;73.0;1.0;1.0;Desconocida;A estrenar;False;Desconocido;Desconocido;Desconocido;Sin piscina;True;True;False;0ª;2025-10-27;https://www.pisos.com/comprar/piso-pla_carolinas_carolinas03012-5106721478_109700/
Piso;568000;Benidorm;38.5460855;-0.1515031;131.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Sur-Este;Privado;Sin piscina;False;False;False;19ª;2025-12-16;https://www.pisos.com/comprar/piso-poble_de_ponent03502-5108681275_109700/
Piso;244900;Alicante Alacant;38.3552783;-0.4827313;81.0;2.0;2.0;Desconocida;A estrenar;False;Desconocido;Desconocido;Desconocido;Sin piscina;True;True;False;2ª;2025-11-13;https://www.pisos.com/comprar/piso-pla_carolinas_carolinas03012-5114885389_109700/
Piso;239000;Alicante Alacant;38.3552783;-0.4827313;83.0;1.0;1.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Desconocido;Sin piscina;True;True;False;4ª;2025-11-08;https://www.pisos.com/comprar/piso-pla_carolinas_carolinas03012-5124526279_109700/
Piso;252000;Alicante Alacant;38.3552783;-0.4827313;74.0;2.0;2.0;Desconocida;A estrenar;False;Desconocido;Desconocido;Desconocido;Sin piscina;True;True;False;3ª;2025-11-14;https://www.pisos.com/comprar/piso-pla_carolinas_carolinas03012-5132462903_109700/
Piso;559000;Benidorm;38.5460855;-0.1515031;131.0;3.0;2.0;Desconocida;A estrenar;False;Desconocido;Sur-Este;Privado;Sin piscina;False;False;False;15ª;2025-12-16;https://www.pisos.com/comprar/piso-poble_de_ponent03502-5142996396_109700/
Piso;591000;Benidorm;38.5460855;-0.1515031;131.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Sur-Este;Privado;Sin piscina;False;False;False;Más de 20;2025-12-16;https://www.pisos.com/comprar/piso-poble_de_ponent03502-5153598880_109700/
Piso;264900;Alicante Alacant;38.3552783;-0.4827313;83.0;2.0;2.0;Desconocida;A estrenar;False;Desconocido;Desconocido;Desconocido;Sin piscina;True;True;False;4ª;2025-11-17;https://www.pisos.com/comprar/piso-pla_carolinas_carolinas03012-5158606325_109700/
Piso;254900;Alicante Alacant;38.3552783;-0.4827313;83.0;2.0;2.0;Desconocida;A estrenar;False;Desconocido;Desconocido;Desconocido;Sin piscina;True;True;False;3ª;2025-11-16;https://www.pisos.com/comprar/piso-pla_carolinas_carolinas03012-5170431894_109700/
Ático;330000;Alicante Alacant;38.3552783;-0.4827313;140.0;2.0;1.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Desconocido;Sin piscina;True;True;False;Desconocida;2025-10-22;https://www.pisos.com/comprar/atico-pla_carolinas_carolinas03012-5171902087_109700/
Piso;219900;Torrevieja;37.9802091;-0.689616;91.0;1.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;False;False;False;3ª;;https://www.pisos.com/comprar/piso-torrevieja_centro03181-5199258195_109700/
Ático;740000;La Vila Joiosa Villajoyosa;38.525458458;-0.17007815;236.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;True;6ª;;https://www.pisos.com/comprar/atico-cala_de_villajoyosa-5201674791_109700/
Piso;249000;La Vila Joiosa Villajoyosa;38.506471096;-0.230555088;62.0;1.0;1.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;True;2ª;2025-12-30;https://www.pisos.com/comprar/piso-la_vila_joiosa_villajoyosa_centro-5201889659_109700/
Piso;588000;La Vila Joiosa Villajoyosa;38.506471096;-0.230555088;110.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;True;4ª;;https://www.pisos.com/comprar/piso-la_vila_joiosa_villajoyosa_centro-5209754620_109700/
Piso;209900;Torrevieja;37.979034;-0.6893649;91.0;1.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;False;False;False;2ª;;https://www.pisos.com/comprar/piso-torrevieja_centro03181-5214301660_109700/
Apartamento;320000;La Vila Joiosa Villajoyosa;38.525458458;-0.17007815;116.0;1.0;1.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;True;0ª;;https://www.pisos.com/comprar/apartamento-cala_de_villajoyosa-5216617253_109700/
Ático;419900;Torrevieja;37.977445695;-0.689168028;248.0;3.0;3.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;False;False;False;Desconocida;;https://www.pisos.com/comprar/atico-torrevieja_centro03181-5221792554_109700/
Ático;329000;Torrevieja;37.9805098;-0.6898492;154.0;2.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;False;False;False;Desconocida;;https://www.pisos.com/comprar/atico-torrevieja_centro03181-5227135894_109700/
Ático;1150000;La Vila Joiosa Villajoyosa;38.525458458;-0.17007815;211.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;True;6ª;;https://www.pisos.com/comprar/atico-cala_de_villajoyosa-5232698234_109700/
Piso;650000;La Vila Joiosa Villajoyosa;38.506471096;-0.230555088;111.0;3.0;2.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;True;5ª;;https://www.pisos.com/comprar/piso-la_vila_joiosa_villajoyosa_centro-5240534155_109700/
Ático;399000;Torrevieja;37.979713;-0.6895155;211.0;3.0;3.0;Desconocida;A estrenar;True;Desconocido;Desconocido;Privado;Sin piscina;False;False;False;Desconocida;;https://www.pisos.com/comprar/atico-torrevieja_centro03181-5251689996_109700/
