nombre;id;detalle_url;latitud;longitud;localidad;region;precio;superficie_construida;superficie_til;superficie_solar;habitaciones;baos;antigedad;conservacin;referencia;armarios_empotrados;carpintera_interior;tipo_suelo;carpintera_exterior;chimenea;cocina_equipada;comedor;lavadero;puerta_blindada;sistema_de_seguridad;terraza;jardn;orientacin;urbanizado;calle_alumbrada;calle_asfaltada;se_aceptan_mascotas;tipo_de_casa;garaje;piscina;gastos_de_comunidad;agua;aire_acondicionado;calefaccin;trastero;amueblado;vidrios_dobles;luz;telfono;adaptado_a_personas_con_movilidad_reducida;gas;no_se_aceptan_mascotas;ascensor;planta;exterior;balcn;soleado;portero_automtico;interior;fecha
Chalet en Torrevieja;57552918689,1065;https://www.pisos.com/comprar/chalet-torrevieja-57552918689_106500/;37,9784921;-0,6793925;Torrevieja;Alicante;275.000 €;127 m²;127 m²;;4.0;2.0;;;96137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/10/2025
Casa adosada en Altea La Vella;57553034181,1067;https://www.pisos.com/comprar/casa_adosada-altea_altea_la_vella03599-57553034181_106700/;38,6442702;-0,0332092;Altea;Alicante;1.137.500 €;326 m²;;;4.0;5.0;;;1482;;;;;;;;;;;TRUE;;;;;;;Adosada;;;;;;;;;;;;;;;;;;;;;;22/09/2025
"Chalet en Balc&#xF3;n al Mar-Cap Mart&#xED;-Adsubia";57553063423,1089;https://www.pisos.com/comprar/chalet-balcon_al_mar_cap_marti_adsubia03738-57553063423_108900/;38,7509273;0,2199824;"X&#xE0;bia J&#xE1;vea";Alicante;1.350.000 €;300 m²;;1.024 m²;4.0;4.0;Entre 30 y 50 años;;7188;TRUE;;Underfloor heating (throughout);;TRUE;Kitchen equipped;;;;Alarm;Private terrace, covered terrace;Propio;South/east;;;;;;;Propia, heated pool;;;TRUE;Underfloor heating (throughout);TRUE;;TRUE;;;;;;;;;;;;;19/11/2025
Piso en Centro Urbano;57553094896,1056;https://www.pisos.com/comprar/piso-centro_urbano-57553094896_105600/;38,8375968;0,1051989;"D&#xE9;nia";Alicante;285.000 €;88 m²;;;3.0;2.0;;;5-51-15863;;;;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;Desconocida_Revisada
Piso en Carrer del Duque de Cubas;57553143689,1005;https://www.pisos.com/comprar/piso-jacarilla_centro_urbano-57553143689_100500/;38,062433901;-0,868227049;Jacarilla;Alicante;123.000 €;103 m²;96 m²;;3.0;2.0;Entre 20 y 30 años;;HAOR03310DUQ123.W./3716;;;Gres;;;;;;TRUE;;TRUE;;Oeste;;;;;;;;;TRUE;TRUE;;;;;;;;;;TRUE;2ª;;True;;;;17/02/2026
Apartamento en Puerto;57553158427,1067;https://www.pisos.com/comprar/apartamento-denia_puerto-57553158427_106700/;38,8349943;0,1164739;"D&#xE9;nia";Alicante;420.000 €;100 m²;;;3.0;2.0;;En buen estado;CBSA637;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;TRUE;;;;;;;22/09/2025
Estudio en Playa del Cura;57553208255,1067;https://www.pisos.com/comprar/estudio-playa_del_cura03182-57553208255_106700/;37,9793717;-0,6652039;Torrevieja;Alicante;92.500 €;35 m²;27 m²;;1.0;1.0;;En buen estado;QC-002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;Desconocida_Revisada
Chalet en Torrevieja;57553329011,1065;https://www.pisos.com/comprar/chalet-torrevieja-57553329011_106500/;37,9624165;-0,719325;Torrevieja;Alicante;339.000 €;113 m²;113 m²;;3.0;3.0;;;78016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12/09/2025
Apartamento en calle del Mar;57553345517,1005;https://www.pisos.com/comprar/apartamento-playa_del_cura03182-57553345517_100500/;37,9780171;-0,675569;Torrevieja;Alicante;390.000 €;148 m²;135 m²;;3.0;3.0;Entre 30 y 50 años;;00565/11574;;;;;;;;;;TRUE;TRUE;;Suroeste;;;;;;1;Comunitaria;;TRUE;TRUE;;;;;;True;;;;TRUE;1ª;;;;;;23/09/2025
Chalet en Andrago;57553396558,1005;https://www.pisos.com/comprar/chalet-moraira_moravit_cap_blanc-57553396558_100500/;38,681150878;0,118636448;Moraira;Alicante;2.995.000 €;367 m²;220 m²;1.000 m²;4.0;4.0;Entre 5 y 10 años;;2743VL_ANDRAGO/4097;1;;Mármol;;TRUE;;;;TRUE;TRUE;TRUE;TRUE;Sureste;;;;;;1;Propia;;TRUE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;02/02/2026
Apartamento en Centro;57553398170,1005;https://www.pisos.com/comprar/apartamento-torrevieja_centro03181-57553398170_100500/;37,9815301;-0,6853178;Torrevieja;Alicante;173.100 €;35 m²;30 m²;;1.0;1.0;Menos de 5 años;;N8452/11574;1;;;;;;;;;;TRUE;;;;;;;;;Comunitaria;;TRUE;;;;;;;;;;;TRUE;1ª;;;;;;23/09/2025
Piso en calle de Alonso Cano;57553400380,1005;https://www.pisos.com/comprar/piso-pla_carolinas_carolinas03012-57553400380_100500/;38,3616786;-0,479756;Alicante Alacant;Alicante;165.000 €;73 m²;;;3.0;1.0;Más de 50 años;;2157/10473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1ª;;;;;;14/01/2026
"Casa en Orihuela Pedan&#xED;as";57553507427,1085;https://www.pisos.com/comprar/casa-orihuela_pedanias-57553507427_108500/;38,082537192;-0,91062276;Orihuela;Alicante;139.900 €;184 m²;180 m²;;3.0;1.0;;;PUE0060;;;Gres;;;Individual;;;;;No acristalada;TRUE;;;;;True;;;;;;;;;;;;;;;;;;;;;;;Desconocida_Revisada
Apartamento en Nueva Torrevieja;57553534511,1056;https://www.pisos.com/comprar/apartamento-torrevieja_nueva_torrevieja03181-57553534511_105600/;37,9851093;-0,6815127;Torrevieja;Alicante;144.995 €;74 m²;;;3.0;2.0;;;744393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Desconocida_Revisada
Casa adosada en calle P Flamenca Cl 7;57553545666,1005;https://www.pisos.com/comprar/casa_adosada-playa_flamenca_las_piscinas-57553545666_100500/;37,934404617;-0,730234575;Orihuela;Alicante;239.000 €;100 m²;89 m²;;3.0;2.0;Entre 30 y 50 años;;HAOM03189FLA239.W/3716;1;;;;;;;;;;TRUE;;Este;;;;;Adosada;1;;Entre 20 y 40 €;TRUE;TRUE;;;TRUE;;;;;;;;;;;;;;Desconocida_Revisada
Casa en Dehesa de Campoamor-Aguamarina;57553636519,1056;https://www.pisos.com/comprar/casa-dehesa_de_campoamor_aguamarina03189-57553636519_105600/;37,900775795;-0,751260183;Orihuela;Alicante;460.000 €;170 m²;;225 m²;3.0;3.0;;;744785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16/01/2026
"Casa en Balc&#xF3;n al Mar-Cap Mart&#xED;-Adsubia";57553707405,1067;https://www.pisos.com/comprar/casa-balcon_al_mar_cap_marti_adsubia03739-57553707405_106700/;38,7473142;0,1786854;"X&#xE0;bia J&#xE1;vea";Alicante;1.200.000 €;250 m²;;1.000 m²;3.0;2.0;;;CBS644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21/02/2026
"Casa r&#xFA;stica en Sax";57553726499,1066;https://www.pisos.com/comprar/casa_rustica-sax_centro_urbano-57553726499_106600/;38,53211748;-0,829198583;Sax;Alicante;240.000 €;150 m²;150 m²;;2.0;1.0;;;109321789-18204;;;;;;;;;;;;;;;;;;Rústica;;;;;;;;;;;;;;;;;;;;;;Desconocida_Revisada
"Piso en X&#xE0;bia - J&#xE1;vea";57553729581,1066;https://www.pisos.com/comprar/piso-xabia_javea-57553729581_106600/;38,7898077;0,1663733;"X&#xE0;bia J&#xE1;vea";Alicante;325.000 €;88 m²;88 m²;;2.0;2.0;;;JA564;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11/09/2025
Casa pareada en Zona Pueblo;57553742085,1005;https://www.pisos.com/comprar/casa_pareada-pilar_de_la_horadada_nucleo03190-57553742085_100500/;37,858257181;-0,784088234;Pilar de la Horadada;Alicante;659.000 €;112 m²;95 m²;94 m²;3.0;3.0;Menos de 5 años;;MWN8955-P/5187;1;;;;;;;;TRUE;;TRUE;TRUE;;;;;;Pareada;;Propia;;;TRUE;;;;;;;;;;;;;;;;;Desconocida_Revisada
Chalet en Busot;57553754293,1065;https://www.pisos.com/comprar/chalet-busot-57553754293_106500/;38,462481291;-0,431953593;Busot;Alicante;850.000 €;239 m²;239 m²;;3.0;2.0;Menos de 5 años;;7107;;;;;;;;;;;;TRUE;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;12/09/2025
"Casa r&#xFA;stica en Ambolo";57553760358,1038;https://www.pisos.com/comprar/casa_rustica-balcon_al_mar_cap_marti_adsubia03738-57553760358_103800/;38,7330822;0,2145756;"X&#xE0;bia J&#xE1;vea";Alicante;4.250.000 €;667 m²;;780 m²;3.0;3.0;;A estrenar;JV1024;1;;;;;TRUE;;;;TRUE;TRUE;;Al mar;;;;;Rústica;TRUE;Propia;;;Frío y calor;TRUE;;;;;;;;;;;;;;;;02/02/2026
Casa en Los Balcones-Los Altos-Punta Prima;57553805523,1066;https://www.pisos.com/comprar/casa-los_balcones_los_altos_punta_prima03186-57553805523_106600/;37,9644741;-0,7243075;Torrevieja;Alicante;279.900 €;131 m²;131 m²;;2.0;2.0;Menos de 5 años;;1087;;;;;;;;;;;TRUE;TRUE;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;03/12/2025
Apartamento en Calpe Playa Levante;57553809280,1093;https://www.pisos.com/comprar/apartamento-playa_de_levante_o_la_fossa-57553809280_109300/;38,649578621;0,069556139;Calpe Calp;Alicante;395.000 €;84 m²;;;2.0;2.0;Menos de 5 años;;ACA0401;;;;;;TRUE;;;;;TRUE;TRUE;TRUE;;;;;;;Community;;;Duct based;Duct based;TRUE;;;;;;;;TRUE;2ª;;;;;;Desconocida_Revisada
Apartamento en calle de Inmaculada del Pla, 1;57553830718,53;https://www.pisos.com/comprar/apartamento-pla_del_bon_repos03013-57553830718_530020/;38,357204;-0,47403198;Alicante Alacant;Alicante;345.000 €;130 m²;130 m²;;4.0;4.0;Entre 10 y 20 años;Reformado;000023;1;;Gres;Madera;;TRUE;TRUE;;;;;;;;;;;;;;;;Frío y calor;;;TRUE;;;;;;;;2ª;TRUE;;;;TRUE;Desconocida_Revisada
"Chalet en El Montg&#xF3;";57553875307,1056;https://www.pisos.com/comprar/chalet-el_montgo03700-57553875307_105600/;38,8162671;0,1211208;"D&#xE9;nia";Alicante;479.000 €;111 m²;;705 m²;3.0;2.0;;;5-17-15857;;;;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;Desconocida_Revisada
Apartamento en Pau Ii;57553932665,1005;https://www.pisos.com/comprar/apartamento-los_angeles_rabasa_san_agustin_san_agustin03005-57553932665_100500/;38,3601398;-0,5005945;Alicante Alacant;Alicante;270.000 €;99 m²;75 m²;;3.0;4.0;Menos de 5 años;;AEDAP0139/12219;1;;;;;;;;TRUE;;TRUE;TRUE;Sureste;;;;;;1;Comunitaria;;;TRUE;TRUE;TRUE;;;;;;;;TRUE;Bajo;;True;;;;06/02/2026
"Casa r&#xFA;stica en Centro";57553973284,1038;https://www.pisos.com/comprar/casa_rustica-pilar_de_la_horadada_pinar_de_campoverde-57553973284_103800/;37,908981309;-0,837913651;Pilar de la Horadada;Alicante;825.000 €;190 m²;;800 m²;3.0;3.0;Menos de 5 años;A estrenar;2764;;;Mármol;;;TRUE;;;;;TRUE;TRUE;Al mar;;;;;Rústica;2;Propia;;;TRUE;Eléctrica;TRUE;;;;;;;;;;;;;;;Desconocida_Revisada
Chalet en Deveses Playa;57553983789,1093;https://www.pisos.com/comprar/chalet-les_deveses_monte_pego03779-57553983789_109300/;38,8772483;-0,0297364;"D&#xE9;nia";Alicante;580.000 €;123 m²;;1.400 m²;;5.0;;;Vecino;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;Desconocida
"Chalet en Urbanizaci&#xF3;n Golf Bah&#xED;a";57553986293,1056;https://www.pisos.com/comprar/chalet-urbanizacion_golf_bahia-57553986293_105600/;38,5522315;-0,1776221;Finestrat;Alicante;625.000 €;178 m²;;301 m²;3.0;4.0;;;FINE1800;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;TRUE;;;;;;;;;;;;;13/11/2025
"Piso en Mon&#xF2;ver - Mon&#xF3;var";57553996059,1066;https://www.pisos.com/comprar/piso-monover_monovar-57553996059_106600/;38,437501748;-0,84175801;"Mon&#xF2;ver Mon&#xF3;var";Alicante;125.000 €;140 m²;140 m²;;4.0;;Más de 50 años;;00133;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;Desconocida
Casa en El Moralet;57554015990,1005;https://www.pisos.com/comprar/casa-el_moralet-57554015990_100500/;38,4526834;-0,567093;Alicante Alacant;Alicante;739.999 €;369 m²;311 m²;2 m²;7.0;4.0;Entre 20 y 30 años;;EXP11356/8930;1;;;;TRUE;;;;;;TRUE;TRUE;Sur;;;;;;;Propia;;;TRUE;TRUE;TRUE;TRUE;;;True;;;;;;;;;;;Desconocida_Revisada
Piso en calle de Aspe;57554035517,5109;https://www.pisos.com/comprar/piso-pla_carolinas_carolinas03012-57554035517_510886/;38,3565997;-0,4834352;Alicante Alacant;Alicante;182.000 €;100 m²;100 m²;;3.0;1.0;Más de 50 años;En buen estado;400;;;Gres;Madera;;TRUE;TRUE;TRUE;TRUE;;;;Sureste;;;;;;;;Entre 20 y 40 €;;;;;TRUE;;;;;TRUE;;;1ª;TRUE;True;TRUE;True;;14/11/2025
Chalet en Cala Advocat-Baladrar;57554042145,1066;https://www.pisos.com/comprar/chalet-cala_advocat_baladrar-57554042145_106600/;38,680693293;0,095457246;Benissa;Alicante;795.000 €;253 m²;253 m²;;3.0;2.0;Más de 50 años;;CH3368;;;;;;;;;;;TRUE;TRUE;Sur;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;16/10/2025
"Piso en Avenida de &#xD3;scar Espl&#xE1;";57554056324,1022;https://www.pisos.com/comprar/piso-ensanche_diputacion03003-57554056324_102200/;38,3403277;-0,4940827;Alicante Alacant;Alicante;405.000 €;147 m²;109 m²;;4.0;2.0;;A reformar;24963;;;Parquet;Hierro;;Equipada reformada;Amplio salon con salida a terraza con vistas a la;;;;;;Oeste;;;;;;1;;;Central_con_contador_individual;TRUE;TRUE;;Vacío;;;;;;;TRUE;7ª;;;;;;Desconocida_Revisada
Piso en Grupo Lo Cartagena;57554245430,1065;https://www.pisos.com/comprar/piso-grupo_lo_cartagena-57554245430_106500/;38,12827615;-0,871463652;Callosa de Segura;Alicante;328.600 €;130 m²;130 m²;;2.0;2.0;;;N-6917526;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;24/02/2026
Apartamento en calle de la Sal;57554271297,1005;https://www.pisos.com/comprar/apartamento-playa_del_cura03182-57554271297_100500/;37,9782033;-0,6653048;Torrevieja;Alicante;690.000 €;104 m²;104 m²;;3.0;2.0;Entre 5 y 10 años;;00666/11574;;;;;;;;;;;TRUE;;Sur;;;;;;1;;Más de 100 €;TRUE;TRUE;;;;;;True;;;;TRUE;1ª;;True;;;;Desconocida_Revisada
"Chalet en Pol&#xED;gono del Boch";57554302009,1005;https://www.pisos.com/comprar/chalet-crevillent_centro_urbano-57554302009_100500/;38,249696088;-0,786854938;Crevillent;Alicante;499.000 €;270 m²;250 m²;2 m²;3.0;3.0;Entre 30 y 50 años;;HAOM03330BOC499.PW-A/3716;1;;;;TRUE;;;;TRUE;;TRUE;TRUE;;;;;;;1;Propia;;TRUE;TRUE;Gas natural;;TRUE;;;;;;;;;;;;;;Desconocida_Revisada
"Piso en calle del Arp&#xF3;n";57554336562,53;https://www.pisos.com/comprar/piso-cabo_de_la_huerta-57554336562_530020/;38,3608588;-0,4309374;Alicante Alacant;Alicante;350.000 €;85 m²;85 m²;;5.0;1.0;Entre 10 y 20 años;Reformado;000025;1;TRUE;Gres;Madera;;TRUE;TRUE;;;;TRUE;;;;;;;;;;;;Frío y calor;;;TRUE;;;;;;;;2ª;TRUE;;;;;23/09/2025
"Casa r&#xFA;stica en Orihuela";57554338315,1065;https://www.pisos.com/comprar/casa_rustica-orihuela-57554338315_106500/;38,097404952;-0,863790584;Orihuela;Alicante;185.000 €;400 m²;400 m²;;3.0;2.0;;;38557076-E-01736;;;;;;;;;;;;;;;;;;Rústica;;;;;;;;;;;;;;;;;;;;;;09/01/2026
"Casa en N&#xFA;cleo";57554363033,1085;https://www.pisos.com/comprar/casa-pilar_de_la_horadada_nucleo-57554363033_108500/;37,871332826;-0,779913907;Pilar de la Horadada;Alicante;235.000 €;85 m²;80 m²;;2.0;2.0;;;1620;;;Gres;;;Americana;;;;;;Comunitario;;;;;;;;Privada;;;TRUE;Eléctrica;;;;;;;;;;;;;;;;14/01/2026
Piso en Pomelos;57554380904,1093;https://www.pisos.com/comprar/piso-la_pedrera_vessanes-57554380904_109300/;38,837419537;0,096635746;"D&#xE9;nia";Alicante;249.000 €;71 m²;54 m²;;2.0;2.0;;A estrenar;92235;;;;;;TRUE;;;TRUE;;Terraza;;;;;;;;1;Comunitaria;;;;;;;;;;;;;TRUE;1ª;TRUE;;;;;Desconocida_Revisada
"Piso en J&#xE1;vea-X&#xE0;bia";57554444493,1038;https://www.pisos.com/comprar/piso-xabia_javea_centro03730-57554444493_103800/;38,7902457;0,1640037;"X&#xE0;bia J&#xE1;vea";Alicante;669.000 €;170 m²;1.000 m²;;3.0;2.0;Entre 20 y 30 años;En buen estado;C-5076R;;;;;;;;;;;;;;;;;;;1;Propia;;;Frío;;TRUE;;;;;;;;;Bajo;TRUE;;;;;Desconocida_Revisada
Chalet en Benimeit-La Sabatera;57554508502,1056;https://www.pisos.com/comprar/chalet-moraira_benimeit_la_sabatera-57554508502_105600/;38,7032035;0,1177362;Moraira;Alicante;1.800.000 €;559 m²;;800 m²;4.0;3.0;;;5-50-15881;;;;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;09/02/2026
Apartamento en La Sella;57554531815,1093;https://www.pisos.com/comprar/apartamento-pedreguer_centro_urbano-57554531815_109300/;38,806507999;0,052024717;Pedreguer;Alicante;650.000 €;250 m²;150 m²;;3.0;2.0;Menos de 5 años;;B1PDR3LSE7;;;;;;TRUE;;;;;;;TRUE;;;;;;TRUE;Yes;;;Yes;Centralised;TRUE;;;;;;;;TRUE;;;;;;;18/02/2026
Chalet en Orihuela;57554542939,1065;https://www.pisos.com/comprar/chalet-orihuela-57554542939_106500/;37,928280977;-0,727534517;Orihuela;Alicante;570.000 €;176 m²;176 m²;;4.0;2.0;;;70720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21/09/2025
Apartamento en Pueblo 9;57554544702,1005;https://www.pisos.com/comprar/apartamento-san_miguel_de_salinas_centro_urbano-57554544702_100500/;37,9830006;-0,7918625;San Miguel de Salinas;Alicante;276.000 €;98 m²;90 m²;;3.0;2.0;Menos de 5 años;;ON12/11574;1;;;;;;;;TRUE;;TRUE;;;;;;;;;Comunitaria;;;TRUE;;TRUE;;;;;;;;TRUE;1ª;;;;;;23/09/2025
Piso en Pilar de La Horadada;57554568656,1093;https://www.pisos.com/comprar/piso-pilar_de_la_horadada_mil_palmeras-57554568656_109300/;37,88917537;-0,759011467;Pilar de la Horadada;Alicante;365.000 €;106 m²;;;3.0;2.0;;A estrenar;NB-89430;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;24/02/2026
Apartamento en La Mata Pueblo;57554823502,1005;https://www.pisos.com/comprar/apartamento-la_mata_distrito03188-57554823502_100500/;38,0282911;-0,6541478;Torrevieja;Alicante;164.000 €;72 m²;61 m²;;2.0;1.0;;;1232/11574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bajo;;;;;;26/11/2025
Chalet en Benissa;57554829352,1065;https://www.pisos.com/comprar/chalet-benissa-57554829352_106500/;38,717261392;0,053030579;Benissa;Alicante;1.350.000 €;464 m²;464 m²;;4.0;4.0;;;PC18470;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;27/09/2025
Apartamento en Monte y Mar;57554862092,1067;https://www.pisos.com/comprar/apartamento-gran_alacant-57554862092_106700/;38,232814575;-0,523444651;Santa Pola;Alicante;405.000 €;76 m²;;;2.0;1.0;;;1568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22/09/2025
Chalet en Carrer de Niobe;57554922307,1018;https://www.pisos.com/comprar/chalet-la_pedrera_vessanes-57554922307_101800/;38,819924684;0,078532662;"D&#xE9;nia";Alicante;945.000 €;165 m²;;829 m²;4.0;4.0;;;Villa Niobe Denia;1;;;;;Cocina equipada;;TRUE;;;TRUE;Privado;;;;;;;;Propia;;;;Central;;TRUE;;;;;;;;;;;;;;15/12/2025
"D&#xFA;plex en calle Caballero de Rodas";57554924424,1005;https://www.pisos.com/comprar/duplex-playa_del_cura03182-57554924424_100500/;37,9787718;-0,6711968;Torrevieja;Alicante;399.000 €;265 m²;250 m²;;4.0;4.0;Entre 5 y 10 años;;00560/11574;1;;;;;;TRUE;;;TRUE;TRUE;TRUE;Norte;;;;;;;;;TRUE;TRUE;;TRUE;;;;True;;;;TRUE;Bajo;;True;;;;23/09/2025
Casa unifamiliar en Pedreguer;57555042134,1005;https://www.pisos.com/comprar/casa_unifamiliar-pedreguer_centro_urbano-57555042134_100500/;38,788176204;0,0153112;Pedreguer;Alicante;1.300.000 €;272 m²;160 m²;;4.0;4.0;Entre 20 y 30 años;;REF_35117;;;;;;;;;;;TRUE;TRUE;Noreste;;;;;Unifamiliar;2;TRUE;;;TRUE;Eléctrica;;TRUE;;;;;;;;;;;;;;Desconocida_Revisada
"Apartamento en Rambla Juan Mateo Garc&#xED;a";57555047969,5285;https://www.pisos.com/comprar/apartamento-torrevieja_centro03181-57555047969_528521/;37,9760062;-0,6792627;Torrevieja;Alicante;212.000 €;126 m²;120 m²;;3.0;2.0;Más de 50 años;En buen estado;NA216;2;;;;;TRUE;TRUE;;;;TRUE;;Este;;;;True;;;;Entre 20 y 40 €;;;;;;;;;;;;TRUE;5ª;TRUE;True;TRUE;;;25/01/2026
Casa en Villena;57555078817,1093;https://www.pisos.com/comprar/casa-villena_centro_urbano-57555078817_109300/;38,631884104;-0,846274685;Villena;Alicante;65.000 €;111 m²;;;3.0;2.0;;;TRCOK25478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16/01/2026
Casa pareada en Gran Alacant;57555084004,1065;https://www.pisos.com/comprar/casa_pareada-gran_alacant-57555084004_106500/;38,23470341;-0,544775138;Santa Pola;Alicante;312.000 €;87 m²;87 m²;;3.0;3.0;Menos de 5 años;;SM0024;;;;;;;;;;;TRUE;;;;;;;Pareada;;;;;;;;;;;;;;;;;;;;;;23/09/2025
Piso en San Blas  Santo Domingo;57555090933,1089;https://www.pisos.com/comprar/piso-san_blas_castillo_de_san_fernando_san_blas03005-57555090933_108900/;38,3472623;-0,5017633;Alicante Alacant;Alicante;292.000 €;103 m²;76 m²;;2.0;2.0;;;4969;;;;;;TRUE;;;TRUE;;;;Sur;;;;;;1;Comunitaria;Entre 60 y 80 €;TRUE;;;;;;;;;;;TRUE;7ª;TRUE;;;;;03/02/2026
Apartamento en Centre;57555145160,1047;https://www.pisos.com/comprar/apartamento-benidorm_centre03502-57555145160_104700/;38,526489448;-0,162496252;Benidorm;Alicante;268.000 €;68 m²;60 m²;;2.0;1.0;Entre 30 y 50 años;En buen estado;17890;2;;Mármol;;;;;;;;;;Oeste;;;;;;Comunitario;TRUE;Entre 60 y 80 €;;;;;TRUE;;;;;;;;9ª;;;;;;19/02/2026
Casa adosada en Bigastro;57555187732,1085;https://www.pisos.com/comprar/casa_adosada-bigastro_centro_urbano-57555187732_108500/;38,063388208;-0,898277932;Bigastro;Alicante;185.500 €;340 m²;250 m²;;4.0;2.0;;;ADO0076;;;Mármol;;;;;;;;No acristalada;TRUE;;;;;True;Adosada;1;Privada;;;;;TRUE;;;;;;;;;;;;;;;10/02/2026
"Casa adosada en Arenal-Bah&#xED;a de J&#xE1;vea";57555195966,1067;https://www.pisos.com/comprar/casa_adosada-arenal_bahia_de_javea03738-57555195966_106700/;38,7715566;0,1832058;"X&#xE0;bia J&#xE1;vea";Alicante;595.000 €;159 m²;102 m²;;3.0;3.0;Entre 20 y 30 años;En buen estado;CBS639;;;;;;;;;TRUE;;TRUE;;;;;;;Adosada;1;;;;TRUE;;TRUE;;TRUE;;;;;;;;;;;;;21/11/2025
"Chalet en Avenida de Espa&#xF1;a, 11";57555231647,1085;https://www.pisos.com/comprar/chalet-cabo_roig_la_zenia_la_regia-57555231647_108500/;37,9209;-0,731945;Orihuela;Alicante;1.595.000 €;375 m²;261 m²;;5.0;10.0;;;CHA0001;TRUE;;Otro;;TRUE;Americana;;;TRUE;;No acristalada;TRUE;Sur;;;;;;;Privada;;;TRUE;Central;TRUE;;TRUE;;;True;;;;;;;;;;Desconocida_Revisada
Casa unifamiliar en Avinguda de Juan Carlos I, 10;57555235150,1098;https://www.pisos.com/comprar/casa_unifamiliar-granja_de_rocamora_centro_urbano-57555235150_109800/;38,150032;-0,89027536;Granja de Rocamora;Alicante;160.000 €;203 m²;150 m²;294 m²;4.0;1.0;Más de 50 años;A reformar;22448324;;;;;;;;;;;TRUE;;;;;;;Unifamiliar;;;Entre 10 y 20 €;;;;;;;;;;;;;;;;;;;18/09/2025
Piso en Altea Poble;57555254802,1065;https://www.pisos.com/comprar/piso-altea_poble-57555254802_106500/;38,6032319;-0,0459619;Altea;Alicante;360.000 €;133 m²;133 m²;;3.0;2.0;;;AP0554;;;;;;;;;;;TRUE;;;;;;;;;;;;TRUE;;;;;;;;;;TRUE;1ª;;;;;;24/10/2025
Apartamento en Montecala;57555285792,1093;https://www.pisos.com/comprar/apartamento-el_poble_nou_de_benitatxell_benitachell_centro_urb-57555285792_109300/;38,703239623;0,158212626;El Poble Nou de Benitatxell Benitachell;Alicante;189.000 €;69 m²;;;2.0;1.0;Entre 20 y 30 años;;20252617;;;;;TRUE;TRUE;TRUE;;;TRUE;TRUE;TRUE;TRUE;;;;;;TRUE;TRUE;;;TRUE;Electrica;TRUE;TRUE;;;;;;;;;;;;;;Desconocida_Revisada
"Casa en N&#xFA;cleo";57555319080,1056;https://www.pisos.com/comprar/casa-pilar_de_la_horadada_nucleo03190-57555319080_105600/;37,863679362;-0,789129239;Pilar de la Horadada;Alicante;234.900 €;65 m²;;213 m²;2.0;1.0;;;744991;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;Desconocida_Revisada
Piso en Marina Alta;57555440375,1087;https://www.pisos.com/comprar/piso-el_montgo03700-57555440375_108700/;38,8388778;0,113975;"D&#xE9;nia";Alicante;299.000 €;80 m²;80 m²;;2.0;1.0;Entre 30 y 50 años;;38034;;;;;;;;;;;TRUE;TRUE;;;;;;;1;TRUE;;;TRUE;;;;;;;;;;;;;;;;;Desconocida_Revisada
Piso en Torrevieja;57555452173,1065;https://www.pisos.com/comprar/piso-torrevieja-57555452173_106500/;38,005151;-0,6936796;Torrevieja;Alicante;325.000 €;77 m²;77 m²;;2.0;2.0;;;60720;;;;;;;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;06/12/2025
